smiles,PActivity
COC(=O)C(C)(C)NC(=O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2,9.52
CCCCCn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(F)cc21,9.52
CC(C)NOc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,9.52
CCCC1COc2cccc3c(=O)c(C(=O)NC4CCCCC4)cn1c23,9.49
CCCCn1nc(C(C)(C)C)s/c1=N/C(=O)c1cc(C(F)(F)F)ccc1ONC(=O)OC(C)(C)C,9.49
CCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccccc3)c(=O)[nH]c12,9.48
CC1(CNS(=O)(=O)C(F)(F)F)CCN(S(=O)(=O)c2cc3ccccc3n2S(=O)(=O)c2ccccc2F)CC1,9.46
CC1CCC(NC(=O)c2cc3cc(-c4ccco4)cnc3n(CCN3CCOCC3)c2=O)CC1,9.46
CCCCCn1cc(C(=O)C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccco3)ccc21,9.43
O=S(=O)(c1cc2ccccc2n1S(=O)(=O)c1ccccc1F)N1CCC(CNS(=O)(=O)C(F)(F)F)CC1,9.42
CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12,9.42
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)C3CCCC3)cc1OC2(C)C,9.41
CC1(CNS(=O)(=O)C(F)(F)F)CCN(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)CC1,9.41
C[C@H]1CN(C(=O)c2cn3c4c(cccc24)OC[C@H]3C2CCCCC2)CCN1C,9.4
O=C(c1cn2c3c(cccc13)OC[C@H]2C1CCCCC1)N1CCN2CCCC[C@H]2C1,9.4
CSCCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,9.4
CC(NS(=O)(=O)C(F)(F)F)C1CCN(S(=O)(=O)c2cc3ccccc3n2S(=O)(=O)c2ccccc2F)CC1,9.4
O=S(=O)(c1cc2ccccc2n1S(=O)(=O)c1ccccn1)N1CCC2(CC1)C[C@@H]2NS(=O)(=O)C(F)(F)F,9.4
CCC1(CNS(=O)(=O)C(F)(F)F)CCN(S(=O)(=O)c2cc3cc(F)ccc3n2S(=O)(=O)c2ccccc2F)CC1,9.4
COc1ccc(S(=O)(=O)c2cc(OC)ccc2S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)cc1,9.4
CCCn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(Sc3ccccc3)cc21,9.4
CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1NNC(=O)C(C)(C)C,9.4
CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2NNC(=O)C(C)(C)C)cc(C(C)(C)C)n1C,9.4
CC(C)(C)OC(=O)NNc1ccc(C(F)(F)F)cc1C(=O)/N=c1/sc(C(C)(C)C)cn1C[C@H]1CCCO1,9.4
C[C@H](NS(C)(=O)=O)c1ccc(Cc2ccc(OC(F)(F)F)cc2S(=O)(=O)c2ccccc2F)cc1,9.4
CC1=CC[C@H]2[C@H](C1)c1c(O)cc(/C(C)=N\OCCCC#N)cc1OC2(C)C,9.4
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(-c4ccccc4)ccc23)C1(C)C,9.39
CCCCCOc1ccc(C(=O)NCCc2ccc(O)cc2)cc1OCCCCC,9.36
CN1CCCCC1Cn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21,9.32
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(O)cc3)c(O)nc12,9.32
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,9.31
C[C@@H]1CN(S(=O)(=O)c2cc3ccccc3n2S(=O)(=O)c2ccccc2F)CC[C@H]1CNS(=O)(=O)C(F)(F)F,9.3
CCN(CC)c1ccc(CN(c2ccc(C)cc2)S(=O)(=O)c2ccc(OC)cc2)cc1,9.3
CC(C)(C)c1cn(C[C@H]2CCCO2)/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OC[C@@H]2CCCO2)s1,9.3
CC(C)(C)c1cn(CC2CCCO2)/c(=N/C(=O)c2cc(C(F)(F)F)ccc2ON=C2CCCC2)s1,9.3
Cc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)c(S(=O)(=O)c2ccccc2F)c1,9.3
CCc1c(C(=O)NC2CCCCC2)nn(-c2ccc(Cl)c(Cl)c2)c1-n1cccc1,9.29
COc1ccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c2c1,9.29
CCCCCCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,9.28
CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)SCCS1,9.28
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3cccc(Br)c3)cc1OC2(C)C,9.27
CC1CCC(NC(=O)c2cc3cccnc3n(CCCCCF)c2=O)CC1,9.25
C=C1CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC)cc1OC2(C)C,9.24
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cccc(OC)c21,9.22
COc1ccc(S(=O)(=O)c2ccc([C@H](C)NS(C)(=O)=O)cc2)c(S(=O)(=O)c2ccccc2)c1,9.22
COc1ccc(S(=O)(=O)c2cc(OC)ccc2Cc2ccc([C@H](C)NS(C)(=O)=O)cc2)cc1,9.22
CN(CCO)C(=O)C(C)(C)NC(=O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2,9.22
CC(C)(NC(=O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2)C(=O)NCCOCCO,9.22
CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)C,9.22
CCCCn1nc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(=O)C(C)(C)C,9.22
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)C(=O)OCCCCCBr)cc1OC2(C)C,9.22
CCCCCn1cc2c(=O)n(CC3CCCCC3)nc-2c2ccccc21,9.21
Cc1s/c(=N\C(=O)C2C(C)(C)C2(C)C)n(CCO[11CH3])c1C,9.19
COCCn1c(C)c(C)s/c1=N\C(=O)C1C(C)(C)C1(C)C,9.19
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(Br)ccc23)C1(C)C,9.19
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)C3CCCCC3)cc1OC2(C)C,9.19
COc1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)N2CCC3(CC2)CC3NS(=O)(=O)C(F)(F)F)cc1,9.19
CC1CCC(NC(=O)c2cc3cc(-c4ccco4)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,9.17
CCc1ccc(C(C)(C)c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)cc1,9.17
CC1CCC(NC(=O)c2cc3cc(-c4ccc(F)cc4)cnc3n(CCN3CCOCC3)c2=O)CC1,9.17
COc1cc2c(cc1O)c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1,9.16
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-c3ccco3)ccc21,9.15
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-n3cccc3)ccc21,9.15
C[C@@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)cc1,9.15
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)cc1-c1ccccc1Cl,9.15
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cccc(C)c21,9.15
C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)cc1,9.15
CCOCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cccc(OC)c21,9.15
CCOCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cccc(O[11CH3])c21,9.15
CCCCn1nc(C(C)(C)C)s/c1=N/C(=O)c1cc(C(F)(F)F)ccc1NNC(=O)OC,9.15
CCCCn1/c(=N/C(=O)c2cc(C(F)(F)F)ccc2NNC(=O)c2ccncc2)cc(C(C)(C)C)n1C,9.15
CC(C)(C)c1cn(C[C@H]2CCCO2)/c(=N/C(=O)c2cc(C(F)(F)F)ccc2OC[C@@H]2CCCCN2)s1,9.15
CN1CCCC[C@H]1COc1ccc(C(F)(F)F)cc1C(=O)/N=c1\sc(C(C)(C)C)cn1C[C@H]1CCCO1,9.15
